product_id,product_name,category_id,unit_price,unit_cost
172,Compact Snack Box,8,82.75,56.09
173,Deluxe Bed Frame,9,197.55,122.56
174,Ultra Cookware Set,2,227.74,192.35
175,Classic Dash Cam,10,187.06,115.51
176,Pro Backpack,4,275.0,153.43
177,Deluxe Dumbbell Set,4,253.56,199.31
178,Compact Bluetooth Speaker,1,42.13,25.82
179,Classic Spice Set,8,20.38,12.82
180,Basic Snack Box,8,446.6,282.37
181,Smart Backpack,4,195.1,119.51
182,Compact Snack Box,8,218.57,140.18
183,Premium Cap,3,407.01,282.73
184,Compact Vacuum Cleaner,2,527.76,288.55
185,Ultra Cap,3,75.44,62.76
186,Ultra Rice Bag,8,40.41,34.73
187,Eco Yoga Mat,4,54.62,32.86
188,Ultra Sneakers,3,36.12,26.0
189,Essential Desk Lamp,9,296.81,254.24
190,Ultra Spice Set,8,333.91,245.27
191,Eco Sketchbook,7,66.67,39.86
192,Eco Cap,3,344.52,190.54
193,Compact Coffee Beans,8,388.82,221.85
194,Eco Electric Razor,5,113.17,88.2
195,Eco Tent,4,397.41,226.43
196,Pro Toaster,2,433.75,297.2
197,Essential Tent,4,198.78,114.75
198,Classic Building Blocks,6,195.05,105.54
199,Compact Jeans,3,380.05,258.23
200,Compact Novel,7,388.67,226.51
201,Smart Vacuum Cleaner,2,64.71,35.42
202,Eco Building Blocks,6,272.64,154.05
203,Compact Notebook,7,181.09,99.41
204,Basic Planner,7,138.76,119.81
205,Basic Headphones,1,331.53,272.09
206,Premium Planner,7,184.76,99.2
207,Smart Action Figure,6,451.0,285.43
208,Ultra Sketchbook,7,284.47,191.39
209,Eco Seat Cover,10,127.78,91.5
210,Smart Tent,4,348.67,203.39
211,Smart Rice Bag,8,415.55,238.52
212,Deluxe Remote Car,6,48.53,31.91
213,Basic Olive Oil,8,34.34,21.98
214,Smart Office Chair,9,245.58,135.25
215,Premium Phone Mount,10,134.33,108.52
216,Smart Toaster,2,81.2,47.18
217,Deluxe Sneakers,3,229.69,187.37
218,Smart LED Monitor,1,49.95,29.81
219,Eco Board Game,6,46.76,26.47
220,Smart Action Figure,6,258.36,213.34
221,Pro Hair Dryer,5,56.76,30.03
222,Premium Vacuum Cleaner,2,164.8,115.41
223,Essential Office Chair,9,455.4,244.78
224,Classic Backpack,4,507.43,295.87
225,Premium Headphones,1,140.66,116.0
226,Premium Dumbbell Set,4,367.51,234.26
227,Compact Seat Cover,10,238.14,130.15
228,Classic Sneakers,3,57.44,37.8
229,Eco Seat Cover,10,12.54,8.35
230,Deluxe Perfume,5,26.78,21.61
231,Classic Phone Mount,10,64.94,39.67
232,Classic Jacket,3,357.32,225.08
233,Pro Car Charger,10,413.37,288.84
234,Smart Tire Inflator,10,160.85,89.29
235,Basic Yoga Mat,4,132.87,70.96
236,Pro Yoga Mat,4,16.13,8.59
237,Basic Car Charger,10,32.24,17.73
238,Ultra LED Monitor,1,304.43,160.67
239,Classic Pen Set,7,41.91,26.77
240,Premium Coffee Table,9,448.72,290.94
241,Classic Planner,7,318.76,190.67
242,Eco Pen Set,7,225.42,139.09
243,Deluxe Sneakers,3,323.85,177.37
244,Basic Coffee Table,9,25.05,18.41
245,Eco Bed Frame,9,518.72,285.37
246,Pro Sketchbook,7,225.18,139.42
247,Classic Board Game,6,112.11,86.83
248,Compact Hair Dryer,5,200.63,141.79
249,Basic Spice Set,8,214.09,177.18
250,Premium Pen Set,7,552.63,292.45
